Question_ID,Domain,N_Pages,Question,A,B,C,D,E,F,Correct_Answer,Doc_ID,Page_Num
1,domain_1,89,Які типи змагань проводяться з боротьби самбо?,тільки індивідуальні ,"особисті, командні, особисто-командні",тільки особисті,змагання не проводяться,тільки командні,тільки командні та індивідуальні,B,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,3
6,domain_2,17,Чи існують протипоказання до застосування Сандімуну Неоралу?,"так, підвищена чутливість до циклоспорину","так, згода пацієнта на лікування","так, вік пацієнта до 18 років","так, трансплантація солідних органів","так, нефротичний синдром","ні, немає протипоказань",A,f548cde5ba56c4e1d8aeca95c3e190f2711d6fa1.pdf,2
7,domain_2,5,Яким чином Вінпоцетин впливає на мозковий кровообіг?,призводить до тромбоутворення,покращує мікроциркуляцію у тканинах мозку,підвищує артеріальний тиск,погіршує обмін речовин,зменшує кровоток,збільшує в'язкість крові,B,f8e8ea2b7e82798862bc3d7b2753f2262642d889.pdf,4
9,domain_2,9,Яка максимальна добова доза препарату діаремікс при гострій діареї?,12 капсул,6 капсул,4 капсули,8 капсул,10 капсул,2 капсули,B,114aa3c7890f255d1134a31a22a29caae427a6f1.pdf,6
10,domain_1,76,Які офіційні особи мають право стежити за дотриманням Правил під час змагань з автомобільного спорту?,секретаріат ФАУ,персонал суддів,спортивні комісари,медичний персонал,фінансові організації,представники команд,C,41b8a1637eea9e8acb06eef16b1c2479e37e759c.pdf,41
11,domain_1,89,Хто затверджує регламент проведення змагань з боротьби самбо?,Міністерство молоді та спорту України,Обласні федерації спорту,Національна федерація самбо України та організатор змагань,"Спортсмени, які беруть участь",Суддівська колегія,Головний суддя змагань,C,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,2
12,domain_2,13,"Які з цих лікарських засобів можуть знижувати абсорбцію зидовудину, що у складі ретровіру?",фенітоїн,ставудин,атоварон,рибавірин,кларитроміцин,метадон,E,20e086e7585d5e496d67ed2313ceb5aa53b409b5.pdf,11
14,domain_2,7,Скільки часу необхідно продовжувати лікування амоксициліном після зникнення симптомів?,один день,5 днів,від 2 до 3 днів,два тижні або більше,7 днів,два тижні,C,2827fbd42bc74ef48ac74ef40b90868b94b1da79.pdf,3
15,domain_2,11,Яка діюча речовина міститься в ланзоптолі?,лансопразол,дигоксин,титану діоксид,желатин,атазанавір та нелфінавір,гіпромелоза,A,780fd55597cd81f1cf0d1492926ab69cfb115d89.pdf,1
17,domain_2,11,Які побічні реакції з боку психіки трапляються при застосуванні ланзоптолу?,Гіпомагніємія,"Сонливість, галюцинації",Порушення зору,Анемія,Алергічні реакції на пеніциліни,"Депресія, галюцинації,
сплутаність свідомості",F,780fd55597cd81f1cf0d1492926ab69cfb115d89.pdf,10
18,domain_1,59,Яка максимальна довжина човнів класу К2 (байдарка-двійка) в сантиметрах?,600,700,750,520,800,650,F,cadef3fc7594662353b7c94387b63a926b5d92d3.pdf,5
19,domain_1,173,Після якої команди рефері починається поєдинок за III системою змагань з джиу-джитсу?,файт,руки вздовж корпуса,хадзіме,мате,готові?,команда жестом,A,54a634188fe502d79e2653231c8ea286636142a0.pdf,104
21,domain_2,13,Яку дію має Ретровір у комбінації з іншими антиретровірусними препаратами?,покращення шлунково-кишкового тракту,лікування астми,зменшення алергічних реакцій,профілактика грипу,лікування онкологічних захворювань,лікування ВІЛ-інфекції у дітей та дорослих,F,20e086e7585d5e496d67ed2313ceb5aa53b409b5.pdf,1
22,domain_2,3,Скільки крапель циклодинону рекомендується приймати на день?,30 крапель 4 рази на день,10 крапель щодня,20 крапель 2 рази на день,50 крапель 3 рази на день,40 крапель 1 раз на день,15 крапель щоденно,E,7db5015ac19c3cd7bb04118b38a228b3572a358c.pdf,2
27,domain_2,3,Яка максимальна добова доза гастро-грану для дорослих і дітей старше 7 років?,5 разів на добу,7 років,1 раз на добу,3 рази на день,2 рази на добу,7 разів на рік,A,fb285f08989b559f0080c9dd096d3557860f919d.pdf,2
28,domain_2,3,Що викликає помутніння препарату Бронхіал Плюс?,погане зберігання,вода очищена,рослинні екстракти,реакція з повітрям,додавання консервантів,низька температура зберігання,C,5c75a2eb4814242f35871112bc657e36f813674b.pdf,1
29,domain_1,25,Яка мета гри го?,набрати більше очок ніж партнер,"поставити камінь на дошку і відпустити
руку",набрати менше очок ніж партнер,порахувати очки,закинути м’яч у кошик суперників,перегнати інших гравців на трасі,A,ac85a12a4483579ba8f51197b5c8ace05f5397e0.pdf,12
30,domain_2,13,Яка доза ретровіру рекомендована для жінок у період вагітності понад 14 тижнів?,250 мг на добу,100 мг на добу,200 мг на добу,300 мг на добу,500 мг на добу,400 мг на добу,E,20e086e7585d5e496d67ed2313ceb5aa53b409b5.pdf,2
31,domain_2,3,Яка міжнародна назва препарату Елоком?,флуоцинолон,psoracole,дексаметазон,betamethasone,hydrocortisone,mometasone,F,556be4e553eab6942598e58cfa02b6aaa553a0e5.pdf,1
32,domain_1,59,Якою розраховується ширина доріжки для одного човна у змаганнях з веслування?,6-9 м,5-8 м,8-10 м,5-7 м,4-6 м,7-9 м,A,cadef3fc7594662353b7c94387b63a926b5d92d3.pdf,5
33,domain_2,5,Для якого отологічного стану рекомендується застосовувати вінпоцетин?,покращення слуху,діарея,підвищений артеріальний тиск,хвороба Меньєра,атеросклероз судин головного мозку,різні форми порушення мозкового кровообігу,D,f8e8ea2b7e82798862bc3d7b2753f2262642d889.pdf,1
35,domain_1,59,Яка вимога ставиться до учасників змагань у разі сходу з дистанції у змаганнях з веслування?,Повідомити суддівську колегію про зупинку змагань,Зупинити інші човни на воді,Залишити човен у воді,Звернутися до лікарів,Продовжити веслування,Залишити місце проведення змагань,A,cadef3fc7594662353b7c94387b63a926b5d92d3.pdf,7
36,domain_2,5,Яка доза для дорослих рекомендується при прийомі Вінпоцетину?,5-10 мг 1 раз на добу,15-20 мг 1 раз на день,5-10 мг 3 рази на добу,5 мг 1 раз на добу,10 мг 1 раз на тиждень,10-15 мг 2 рази на добу,C,f8e8ea2b7e82798862bc3d7b2753f2262642d889.pdf,2
37,domain_2,5,Який термін придатності гелю Дерива С?,3 роки,6 місяців,2 роки,Необмежений,5 років,1 рік,C,9d2df2f02cd5d57fe401497c3e64e47a3994112d.pdf,4
38,domain_2,4,Які побічні реакції можуть виникнути після застосування Інфаколу?,сухість у роті,слабкість,підвищення артеріального тиску,"нудота, блювання","шкірний висип, свербіж",головний біль,E,67bfbcbe3cfd8f845785a8664b9b73b6b4751d72.pdf,3
41,domain_1,89,Які вимоги до спортивної форми учасників змагань з боротьби самбо?,кожен учасник самостійно визначає форму,костюми для змагань з легкої атлетики,будь-яка спортивна форма,спеціалізована форма для танців,стандартна форма для футболістів,сертифікована форма самбо зі знаком відповідності НФСУ,F,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,13
43,domain_2,9,Які діючі речовини містить препарат Діаремікс?,"Фенітоїн, сальбутамол, дексаметазон","Ацетилсаліцилова кислота, ксамфін, жирні кислоти","Метамізол, німесулід, ампіцилін","Lactic Acid Bacillus (Bacillus coagulans/Lb.sporogenеs), лопераміду
гідрохлорид, дицикловерину гідрохлорид","Ібупрофен, допоміжні речовини","Кодеїн, парацетамол, поташ",D,114aa3c7890f255d1134a31a22a29caae427a6f1.pdf,1
45,domain_2,9,Яке основне показання до застосування Діаремікса?,Бронхіт,Грип,Висока температура,Зневоднення,Ангіна,Діарея різної етіології,F,114aa3c7890f255d1134a31a22a29caae427a6f1.pdf,2
47,domain_1,173,Які способи змагань використовуються в системах джиу-джитсу?,Змішаний,Тільки фінальний,Коловий та з вибуванням,Заборонений,Тільки коловий,Тільки з вибуванням,C,54a634188fe502d79e2653231c8ea286636142a0.pdf,87
48,domain_2,4,При яких станах не слід застосовувати Інфакол?,анемія,непрохідність кишечнику,гіпотонія,гіпертонія,бронхіальна астма,запалення легень,B,67bfbcbe3cfd8f845785a8664b9b73b6b4751d72.pdf,2
49,domain_2,17,Який ефект має вживання сандімуну неоралу разом із вориконазолом?,втричі підвищує AUC лерканідипіну,підвищує концентрацію циклоспорину в плазмі або крові,запобігає відторгненню трансплантатів,затримує калій в організмі,знижує концентрацію циклоспорину в плазмі або крові,призводить до гіперплазії ясен,B,f548cde5ba56c4e1d8aeca95c3e190f2711d6fa1.pdf,14
51,domain_2,16,Чи дозволено застосування препарату Периндоприл-Тева під час вагітності?,дозволено в будь-якому триместрі,можливо при плануванні вагітності,можливо лише в I триместрі,протипоказано,дозволено за призначенням лікаря,"можливо, якщо доза невелика",D,5ae9814fac3ba1f5048ce716f15304d3ead03823.pdf,11
54,domain_2,5,Як слід застосовувати Дерива С?,Вжити внутрішньо 3 рази на день з їжею,Наносити на вологу шкіру 2 рази на день,Наносити товстим шаром 2 рази на день,"Наносити тонким шаром на чисту суху шкіру у місцях висипів 1 раз на добу, на ніч",Вжити перед сном по 2 таблетки,Змішати з водою перед нанесенням,D,9d2df2f02cd5d57fe401497c3e64e47a3994112d.pdf,4
56,domain_1,79,"Якщо на матчі з регбі м'яч виходить в аут, яка процедура?","М'яч вводиться руками з точки, де він залишив межі поля",Призначається сутичка,Гра продовжується з удару,М'яч вкидається безпосередньо з залікової зони,М'яч залишається у ауті,М'яч вкидається з будь-якої точки поля,A,759dfc8486c0f02391d7cfc1fed753b0608fc601.pdf,35
57,domain_2,4,Яке основне призначення препарату Інфакол?,лікування кашлю,лікування алергії,лікування застуди,лікування головного болю,симптоматичне лікування при газоутворенні,лікування шкірних захворювань,E,67bfbcbe3cfd8f845785a8664b9b73b6b4751d72.pdf,2
59,domain_1,89,Скільки разів учасник змагань з боротьби самбо може вставати на ваги під час офіційного зважування?,два рази,"відсутність кроків, переносу ваги, повороту довше, ніж на 2 удари музики",зважування проводить бригада суддів,один раз,п'ять разів,двічі,D,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,6
62,domain_2,5,Яку з цих побічних реакцій не може викликати дериваС гель?,діарею,акне,кропив’янку,набряк Квінке,реакції фоточутливості,грамнегативний фолікуліт,D,9d2df2f02cd5d57fe401497c3e64e47a3994112d.pdf,4
64,domain_1,89,Який документ регламентує умови допуску учасників до змагань з боротьби самбо?,Закон України,Правила змагань з боксу,Наказ Міністерства молоді,Регламент,Статут НФСУ,Протокол суддів,D,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,4
66,domain_1,89,Скільки учасників має бути у демокоманді з пляжного самбо?,п'ять,три,не менше двох,шість,один,чотири,C,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,46
67,domain_1,89,Хто може проводити контроль зважування спортсменів на змаганнях з боротьби самбо?,кожен учасник,провідник,тренер спортсмена,"бригада суддів, призначена головним суддею",представник команди,лікар змагань,D,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,6
68,domain_2,3,Які рослинні екстракти містяться у складі БРОНХІАЛ ПЛЮС?,екстракт ромашки та екстракт шипшини,екстракт ехінацеї та екстракт звіробою,"екстракт алтея, екстракт тим'яну та вітамін C",екстракт алтея та екстракт тим'яну,"мед, сахароза",екстракт алтея та вітамін С,D,5c75a2eb4814242f35871112bc657e36f813674b.pdf,1
69,domain_2,2,Які допоміжні речовини містять супозиторії метилурацилу?,ПЕО-400 і ПЕО-1500,"сахароза, крохмаль",метилурацил,тетрагідропіримідин,олія рицинова,"гліцерин, вода",A,986dbec74e7ac870dfcf8b14337b301227c61238.pdf,1
70,domain_1,89,Яке мінімальне обмеження по віку для участі у змаганнях з пляжного самбо?,18 років,10 років,16 років,12 років,14 років,20 років,D,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,40
71,domain_1,25,Яке обладнання використовується для обслуговування спортивних змагань з го?,монітори,шахові годинники,додаткові столи,електронні табло,вимірювачі температури,механічні наручні годинники,B,ac85a12a4483579ba8f51197b5c8ace05f5397e0.pdf,12
72,domain_1,76,"Який вік відповідає віковій категорії ""старші юнаки"" на змаганнях з картингу?",30 листопада поточного року,з 18 і старше,старше 45 років,з 10 до 14 років,з 6 до 10 років,з 10 до 13 років,F,41b8a1637eea9e8acb06eef16b1c2479e37e759c.pdf,12
74,domain_1,79,Які види регбі зазначені в Правилах?,Лише регбі-7 та регбі-15,"Регбі-10, регбі-20","Регбі-15, регбі-7, пляжне регбі, регбі-5","Регбі-8, регбі-6, пляжне регбі","Регбі-12, регбі-6, регбі-5","Регбі-15, регбі-9, регбі-7",C,759dfc8486c0f02391d7cfc1fed753b0608fc601.pdf,3
77,domain_2,26,"Яка побічна реакція часто спостерігається при застосуванні периндоприлу, що у складі трипліксаму?",гіпонатріємія,сонливість,нудота,кашель,аритмія,риніт,D,d80178b24cc3a40d841ec790e575767afd0a3fd9.pdf,23
78,domain_2,4,Яка тривалість застосування Інфаколу зазначена в інструкції?,не більше 2 тижнів,залежить від наявності скарг,не більше 5 днів,не більше 3 днів,не більше 1 тижня,не обмежена,B,67bfbcbe3cfd8f845785a8664b9b73b6b4751d72.pdf,3
79,domain_1,79,Яка максимальна тривалість матчу для регбі-5 у звичайних матчах?,30 хвилин,25 хвилин,15 хвилин,20 хвилин,10 хвилин,5 хвилин,C,759dfc8486c0f02391d7cfc1fed753b0608fc601.pdf,66
80,domain_2,7,При якому стані хворим не слід призначати амоксицилін у капсулах?,при важких шлунково-кишкових розладах з діареєю та блюванням,при болях у спині,при підвищеній температурі,при загальному нездужанні,при кашлі,при болях у горлі,A,2827fbd42bc74ef48ac74ef40b90868b94b1da79.pdf,4
81,domain_2,3,При якій температурі рекомендовано зберігати бронхіал плюс?,325мг,не вище 15°С,рівно 25°С,не вище 20°С,не вище 25°С,вище 25°С,E,5c75a2eb4814242f35871112bc657e36f813674b.pdf,3
82,domain_1,89,Який мінімальний склад команди в командних змаганнях з самбо?,два учасника,більше половини складу команди,"всі учасники, які підходять за віком",один учасник,вся команда,чотири учасника,B,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,26
83,domain_2,3,Якій групі пацієнтів дозволено призначати циклоденон?,"жінкам, які годують грудьми",вагітним жінкам,"особам, які страждають на алкоголізм",прутняку звичайному,дітям від 12 років,дітям до 5 років,E,7db5015ac19c3cd7bb04118b38a228b3572a358c.pdf,2
85,domain_2,11,Яким чином ланзоптол впливає на активність H+/K+-АТФ-ази?,Пригнічує активність H+/K+-АТФ-ази,Інгібує дію інших ферментів,Збільшує вироблення шлункової кислоти,Не має ніякого впливу на H+/K+-АТФ-азу,Покращує активність H+/K+-АТФ-ази,Посилює секрецію шлункового соку,A,780fd55597cd81f1cf0d1492926ab69cfb115d89.pdf,1
86,domain_1,79,Яку форму має м'яч для регбі?,Прямокутну,Квадратну,Овальну,Круглу,Циліндричну,Форму куба,C,759dfc8486c0f02391d7cfc1fed753b0608fc601.pdf,3
87,domain_1,25,"Яка система використовується для організації змагань з го, коли беруть участь гравці з великою різницею рівня гри?",Система Макмагон,Колова система,Матч-турніри,Швейцарська система,Олімпійська система,Схевенінгенська система,A,ac85a12a4483579ba8f51197b5c8ace05f5397e0.pdf,5
89,domain_1,173,"Не пізніше якого терміну подається заявка, що підтверджує участь команди у всеукраїнських змаганнях з джиу-джитсу?",2 тижні до початку змагань,15 днів до початку змагань,3 тижні до початку змагань,1 календарний рік до початку змагань,1 місяць до початку змагань,1 тиждень до початку змагань,A,54a634188fe502d79e2653231c8ea286636142a0.pdf,76
91,domain_1,79,Яка мета гри в регбі?,Забити гол,Перемогти в один тайм,Виграти всі сутички,Набрати якнайбільше очок,Захопити м'яч,Зробити більше передач,D,759dfc8486c0f02391d7cfc1fed753b0608fc601.pdf,3
92,domain_1,76,Яка організація може організовувати змагання з автомобільного спорту?,ФАУ,Служба безпеки,Асоціація картингів,Міністерство спорту,Клуб автомобілістів,Туристична фундація,A,41b8a1637eea9e8acb06eef16b1c2479e37e759c.pdf,13
93,domain_1,122,Які шкарпетки не дозволено одягати учасникові на змаганнях зі стронгмену?,короткі шкарпетки,шкартпетки із захисним покриттям усередині,шкарпетки червоного кольору,шкарпетки з фабричним логотипом,"шкарпетки, які торкаються намотаних на колінах
бинтів або наколінників",власні шкарпетки,E,0ec2a844ab5e5f66bfff7d66dbd5b33bca34cc94.pdf,23
94,domain_1,173,Яка максимальна вага для учасників категорії жінки дорослі в змаганнях з джиу-джитсу?,Понад 70 кг,До 45 кг,До 77 кг,До 60 кг,До 85 кг,До 94 кг,A,54a634188fe502d79e2653231c8ea286636142a0.pdf,18
96,domain_2,7,Яка частина амоксициліну виводиться із сечею у незміненому вигляді?,60-80%,10-20%,80-90%,30-50%,25-35%,50-70%,A,2827fbd42bc74ef48ac74ef40b90868b94b1da79.pdf,5
99,domain_2,3,Чутливість до якого компонента є протипоказанням до прийому циклодинону?,вітамін С,плоди прутняку звичайного,мелісса,листя кропиви,стигми кукурудзи,квіти ромашки,B,7db5015ac19c3cd7bb04118b38a228b3572a358c.pdf,2
100,domain_2,13,Яка доза Ретровіру призначається новонародженим?,1 мг/кг маси тіла 3 рази на добу,4 мг/кг маси тіла 4 рази на добу,"1,5 мг/кг маси тіла щодня",5 мг/кг маси тіла 1 раз на добу,2 мг/кг маси тіла кожні 6 годин,3 мг/кг маси тіла 2 рази на добу,E,20e086e7585d5e496d67ed2313ceb5aa53b409b5.pdf,2
101,domain_2,6,Що слід робити у випадку передозування препаратом Солпадеїн?,очистити організм за допомогою народних засобів,застосувати антисептик,зробити зарядку,прийняти вітамін C,пити багато води,негайно звернутися до лікаря,F,2ee44110e9b8b4b6f0e41ef9c8cc553be744551b.pdf,5
102,domain_1,25,Які вимоги до місця проведення спортивних змагань з го?,Тільки наявність дошок,Поруч із громадським транспортом,Відповідність санітарним нормам гігієни інтелектуальної праці,Освітлення в приміщенні,Чай для гравців,Плюшеві меблі,C,ac85a12a4483579ba8f51197b5c8ace05f5397e0.pdf,16
103,domain_2,13,"Коли пацієнти, що застосовують ретровір, повинні отримувати перевірки крові при розвинутій стадії ВІЛ-хвороби?",раз на півроку,кожен день,раз в місяць,кожні три місяці,не менше 1 разу на 2 тижні протягом перших 3 місяців лікування,раз на рік,E,20e086e7585d5e496d67ed2313ceb5aa53b409b5.pdf,8
106,domain_1,122,Яка основна мета спортивних змагань зі стронгмену?,Залучення нових тренерів,Визначення найсильніших гравців у футболі,Проведення благодійних заходів,Розвиток виду спорту стронгмен на всіх рівнях,Популяризація тенісу,Підготовка до олімпійських ігор,D,0ec2a844ab5e5f66bfff7d66dbd5b33bca34cc94.pdf,2
108,domain_1,76,Яка відповідальність настає за недотримання Правил змагань з автомобільного спорту?,заборона проведення змагань,можливість подачі апеляції,відсторонення від усіх видів спорту,зменшення очок у змаганнях,учасники можуть бути позбавлені виданої їм ліцензії,виключення з програми змагань,E,41b8a1637eea9e8acb06eef16b1c2479e37e759c.pdf,15
109,domain_2,26,Які діючі речовини входять до складу трипліксаму?,"доксазозин, флувастатин, метопролол","Манілендз, Горей Роуд, Арклоу","периндоприл, атенолол, амлодипін","периндоприл, індапамід, амлодипін",суміш кальцію карбонату та крохмалю,"гліцерин, гіпромелоза,
макрогол",D,d80178b24cc3a40d841ec790e575767afd0a3fd9.pdf,1
110,domain_2,6,Якого кольору таблетки баклофену?,синього,кукурудзяного,масляного,круглого,білого,жовтого,E,3828dec85bc546bd064190a023c7c802d6a8ab0a.pdf,1
111,domain_2,9,Для лікування яких станів рекомендовано прийняти 150 мг дифлазону один раз на тиждень?,"для запобігання рецидиву орофарингеального кандидозу у хворих на СНІД, проти шкірних інфекцій та мікозу нігтів",виключно проти шкірних інфекцій,при глибоких ендемічних мікозах,при криптококовому менінгіті ,"при кандидемії, дисемінованому кандидозі та інших формах інвазивної кандидозної інфекції","при атрофічному кандидозі порожнини рота, пов’язаному із зубними протезами",A,cc340c81af3efa6ad4f864b38c4b1c497562df63.pdf,3
112,domain_2,6,Яка з цих речовин входить до діючих речовин солпадеїну?,магнію стеарат,етанол,вода,тальк очищений,кофеїн,кислота стеаринова,E,2ee44110e9b8b4b6f0e41ef9c8cc553be744551b.pdf,1
114,domain_2,9,Яка діюча речовина входить до складу дифлазону?,криптококоз,магнію стеарат,натрію лаурилсульфат,Е 171,терфенадин,флуконазол,F,cc340c81af3efa6ad4f864b38c4b1c497562df63.pdf,1
116,domain_1,79,"Що має відбутися в разі, якщо гравець у регбі не встигне виконати удар протягом хвилини?",Гравець автоматично забиває гол,Гравець отримує жовту картку,Штрафний удар анулюється,Гра триває лише 30 секунд,Команда програє матч,Штрафний удар призначається супернику,C,759dfc8486c0f02391d7cfc1fed753b0608fc601.pdf,15
117,domain_1,79,Скільки разів команда може замінити гравців у пляжному регбі?,П'ять разів,Необмежену кількість разів,Двічі,Тричі,Один раз,Чотири рази,B,759dfc8486c0f02391d7cfc1fed753b0608fc601.pdf,56
118,domain_1,76,Що таке гандикап в автомобільному спорті?,термін для ліцензування водіїв,умова для проведення змагань,правило щодо підрахунку часу,метод оцінки ознак автомобілів,спосіб зрівняти шанси учасників змагання,система визначення переможців,E,41b8a1637eea9e8acb06eef16b1c2479e37e759c.pdf,4
119,domain_2,4,Яку максимальну дозу Інфаколу можна дати дитині?,60 мг (1.5 мл),40 мг (1 мл),20 мг (0.5 мл),50 мг (1.25 мл),10 мг (0.25 мл),30 мг (0.75 мл),B,67bfbcbe3cfd8f845785a8664b9b73b6b4751d72.pdf,3
121,domain_2,26,Яка терапія рекомендована для пацієнтів з реноваскулярною гіпертензією?,допомога при гіпоглікемії,введення інсуліну,поєднання з калійзберігаючими препаратами,реваскуляризація,застосування альфа-блокаторів,лікування НПЗЗ,D,d80178b24cc3a40d841ec790e575767afd0a3fd9.pdf,17
123,domain_1,79,Хто може бути на ігровій площі під час матчу з регбі?,Тільки глядачі,Тільки тренери,Тільки лікарі,Тільки судді,Будь-хто за бажанням,"Тільки гравці, арбітр і бокові судді",F,759dfc8486c0f02391d7cfc1fed753b0608fc601.pdf,9
124,domain_1,79,У якому випадку в регбі призначається штрафна спроба?,Якщо арбітр не впевнений у результаті,Якщо гравець пропустив м'яч,Якщо зовнішній гравець у сутичці перешкоджав противнику переміщатися навколо неї ,Якщо два гравці одночасно торкнулися м'яча,Якщо м'яч вийшов в аут,Якщо гравець порушив правила,C,759dfc8486c0f02391d7cfc1fed753b0608fc601.pdf,44
125,domain_2,16,Яка максимально рекомендована доза Периндоприлу для пацієнтів з артеріальною гіпертензією після місяця лікування?,"7,5 мг 2 рази на добу",5 мг 1 раз на добу,"2,5 мг 2 рази на добу",20 мг 1 раз на добу,15 мг 1 раз на добу,10 мг 1 раз на добу,F,5ae9814fac3ba1f5048ce716f15304d3ead03823.pdf,12
127,domain_2,5,Яка з цих реакцій є побічною дією вінпоцетину?,сонливість,дзвін у вухах,вагітність,сухість шкіри,атеросклероз судин головного мозку,інсульт,A,f8e8ea2b7e82798862bc3d7b2753f2262642d889.pdf,2
129,domain_2,9,Скільки разів на день рекомендовано застосовувати препарат Діаремікс для дорослих?,1 раз на тиждень,1 раз на добу,2-3 рази на день,Два рази на день,3-4 рази на день,2 рази на місяць,C,114aa3c7890f255d1134a31a22a29caae427a6f1.pdf,7
130,domain_2,3,Яка активна речовина має пом'якшувальну дію в препараті бронхіал ПЛЮС?,листя тим'яну,калію сорбат,вітамін С,слиз листків і кореня алтея,ефірна олія тим'яну,мед,D,5c75a2eb4814242f35871112bc657e36f813674b.pdf,1
131,domain_1,173,Що таке Шидо у контексті порушень під час змагань з джиу-джитсу?,Зупинка поєдинку,Важке порушення,Дискваліфікація,Незначне порушення,Середнє порушення,Легке порушення за яке нараховується 1 бал супернику,F,54a634188fe502d79e2653231c8ea286636142a0.pdf,107
133,domain_2,4,Які умови зберігання препарату Інфакол?,при температурі не вище 15 °С,в холодильнику,в морозильнику,при температурі не вище 30 °С,при кімнатній температурі,при температурі не вище 25 °С,F,67bfbcbe3cfd8f845785a8664b9b73b6b4751d72.pdf,3
134,domain_2,3,До якої фармакотерапевтичної групи належить елоком?,протизапальні препарати,кортикостероїди для місцевого застосування,снодійні,вітаміни,анальгетики,антибіотики,B,556be4e553eab6942598e58cfa02b6aaa553a0e5.pdf,1
135,domain_1,122,Скільки вправ має складати мінімальна програма спортивних змагань зі стронгмену?,Вісім вправ,Чотири вправи,Десять вправ,Три вправи,П’ять вправ,Сім вправ,E,0ec2a844ab5e5f66bfff7d66dbd5b33bca34cc94.pdf,4
137,domain_1,89,Коли проводиться зважування учасників змагань з самбо?,в день змагань,за тиждень до змагань,напередодні дня змагань,одразу після реєстрації,під час змагань,відразу після жеребкування,C,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,5
138,domain_1,122,"Яка максимальна вага снарядів на вправі ""Truck pull"" на змаганнях зі стронгмену?",Не зазначено,300 кг,150 кг,200 кг,Вага визначається Положенням,250 кг,A,0ec2a844ab5e5f66bfff7d66dbd5b33bca34cc94.pdf,89
139,domain_2,9,"Який механізм дії флуконазолу, що міститься в препараті Дифлазон?",стимулює утворення тромбоцитів,покращує циркуляцію крові,збільшує рівень рифабутину в сироватці,пригнічує синтез ергостеролу у клітинах грибів,посилює метаболізм,підвищує імунітет,D,cc340c81af3efa6ad4f864b38c4b1c497562df63.pdf,8
140,domain_1,122,Яка максимальна кількість учасників може бути в команді на змаганнях зі стронгмену?,10 спортсменів,12 спортсменів,15 спортсменів,6 спортсменів,9 спортсменів,5 спортсменів,E,0ec2a844ab5e5f66bfff7d66dbd5b33bca34cc94.pdf,12
